province,year,expenses
ACEH,2015,2403737.0
ACEH,2016,2601520.0
ACEH,2017,2871016.0
ACEH,2018,3083019.0
ACEH,2019,3128927.0
ACEH,2020,3385445.0
ACEH,2021,3572924.0
ACEH,2022,3672319.0
BALI,2015,3055194.0
BALI,2016,3209664.0
BALI,2017,3831830.0
BALI,2018,3928383.0
BALI,2019,3979930.0
BALI,2020,4298953.0
BALI,2021,4179123.0
BALI,2022,4109699.0
BANTEN,2015,2900212.0
BANTEN,2016,3182179.0
BANTEN,2017,3493281.0
BANTEN,2018,3863867.0
BANTEN,2019,3999910.0
BANTEN,2020,4269611.0
BANTEN,2021,4258530.0
BANTEN,2022,4547380.0
BENGKULU,2015,2531866.0
BENGKULU,2016,2846417.0
BENGKULU,2017,3115721.0
BENGKULU,2018,3480171.0
BENGKULU,2019,3454116.0
BENGKULU,2020,3597699.0
BENGKULU,2021,3580854.0
BENGKULU,2022,3733346.0
DI YOGYAKARTA,2015,2633955.0
DI YOGYAKARTA,2016,3030583.0
DI YOGYAKARTA,2017,3199142.0
DI YOGYAKARTA,2018,3616547.0
DI YOGYAKARTA,2019,3714420.0
DI YOGYAKARTA,2020,3904380.0
DI YOGYAKARTA,2021,3919984.0
DI YOGYAKARTA,2022,4092320.0
DKI JAKARTA,2015,3546862.0
DKI JAKARTA,2016,3753295.0
DKI JAKARTA,2017,3994892.0
DKI JAKARTA,2018,4078314.0
DKI JAKARTA,2019,4312224.0
DKI JAKARTA,2020,4515982.0
DKI JAKARTA,2021,4672858.0
DKI JAKARTA,2022,5050694.0
GORONTALO,2015,2131155.0
GORONTALO,2016,2433940.0
GORONTALO,2017,2826923.0
GORONTALO,2018,2793420.0
GORONTALO,2019,3081683.0
GORONTALO,2020,3279194.0
GORONTALO,2021,3492052.0
GORONTALO,2022,3492100.0
INDONESIA,2015,2602901.0
INDONESIA,2016,2825655.0
INDONESIA,2017,3080616.0
INDONESIA,2018,3327345.0
INDONESIA,2019,3436279.0
INDONESIA,2020,3615014.0
INDONESIA,2021,3723360.0
INDONESIA,2022,3905920.0
JAMBI,2015,2623627.0
JAMBI,2016,2848082.0
JAMBI,2017,3061016.0
JAMBI,2018,3274965.0
JAMBI,2019,3335597.0
JAMBI,2020,3509139.0
JAMBI,2021,3666941.0
JAMBI,2022,3909758.0
JAWA BARAT,2015,2565580.0
JAWA BARAT,2016,2791942.0
JAWA BARAT,2017,3129126.0
JAWA BARAT,2018,3438375.0
JAWA BARAT,2019,3556348.0
JAWA BARAT,2020,3733398.0
JAWA BARAT,2021,3856506.0
JAWA BARAT,2022,4033826.0
JAWA TENGAH,2015,2105804.0
JAWA TENGAH,2016,2285918.0
JAWA TENGAH,2017,2484781.0
JAWA TENGAH,2018,2809538.0
JAWA TENGAH,2019,2862789.0
JAWA TENGAH,2020,3048336.0
JAWA TENGAH,2021,3136156.0
JAWA TENGAH,2022,3351783.0
JAWA TIMUR,2015,2506927.0
JAWA TIMUR,2016,2619184.0
JAWA TIMUR,2017,2808186.0
JAWA TIMUR,2018,2997710.0
JAWA TIMUR,2019,3079703.0
JAWA TIMUR,2020,3164457.0
JAWA TIMUR,2021,3300513.0
JAWA TIMUR,2022,3454099.0
KALIMANTAN BARAT,2015,2470206.0
KALIMANTAN BARAT,2016,2720275.0
KALIMANTAN BARAT,2017,2952944.0
KALIMANTAN BARAT,2018,3255209.0
KALIMANTAN BARAT,2019,3390799.0
KALIMANTAN BARAT,2020,3522130.0
KALIMANTAN BARAT,2021,3616224.0
KALIMANTAN BARAT,2022,3833316.0
KALIMANTAN SELATAN,2015,2928007.0
KALIMANTAN SELATAN,2016,3186294.0
KALIMANTAN SELATAN,2017,3530786.0
KALIMANTAN SELATAN,2018,3713303.0
KALIMANTAN SELATAN,2019,3776704.0
KALIMANTAN SELATAN,2020,4033066.0
KALIMANTAN SELATAN,2021,4167736.0
KALIMANTAN SELATAN,2022,4232175.0
KALIMANTAN TENGAH,2015,2826909.0
KALIMANTAN TENGAH,2016,3217758.0
KALIMANTAN TENGAH,2017,3495372.0
KALIMANTAN TENGAH,2018,3743854.0
KALIMANTAN TENGAH,2019,3920264.0
KALIMANTAN TENGAH,2020,4069218.0
KALIMANTAN TENGAH,2021,4236114.0
KALIMANTAN TENGAH,2022,4354251.0
KALIMANTAN TIMUR,2015,3494460.0
KALIMANTAN TIMUR,2016,3783668.0
KALIMANTAN TIMUR,2017,4163186.0
KALIMANTAN TIMUR,2018,4510847.0
KALIMANTAN TIMUR,2019,4693078.0
KALIMANTAN TIMUR,2020,5076736.0
KALIMANTAN TIMUR,2021,4967092.0
KALIMANTAN TIMUR,2022,5210878.0
KALIMANTAN UTARA,2015,3102947.0
KALIMANTAN UTARA,2016,3429370.0
KALIMANTAN UTARA,2017,3835796.0
KALIMANTAN UTARA,2018,4196213.0
KALIMANTAN UTARA,2019,4293770.0
KALIMANTAN UTARA,2020,4557716.0
KALIMANTAN UTARA,2021,4565540.0
KALIMANTAN UTARA,2022,4639824.0
KEP. BANGKA BELITUNG,2015,3357330.0
KEP. BANGKA BELITUNG,2016,3632027.0
KEP. BANGKA BELITUNG,2017,4062035.0
KEP. BANGKA BELITUNG,2018,4230322.0
KEP. BANGKA BELITUNG,2019,4487918.0
KEP. BANGKA BELITUNG,2020,4467327.0
KEP. BANGKA BELITUNG,2021,4551249.0
KEP. BANGKA BELITUNG,2022,4920983.0
KEP. RIAU,2015,3664722.0
KEP. RIAU,2016,3988154.0
KEP. RIAU,2017,4233665.0
KEP. RIAU,2018,4316388.0
KEP. RIAU,2019,4740469.0
KEP. RIAU,2020,4760269.0
KEP. RIAU,2021,4930981.0
KEP. RIAU,2022,4932677.0
LAMPUNG,2015,2381212.0
LAMPUNG,2016,2526522.0
LAMPUNG,2017,2720709.0
LAMPUNG,2018,2915680.0
LAMPUNG,2019,2932067.0
LAMPUNG,2020,3064769.0
LAMPUNG,2021,3243716.0
LAMPUNG,2022,3351138.0
MALUKU,2015,2457148.0
MALUKU,2016,2622767.0
MALUKU,2017,2786695.0
MALUKU,2018,2994860.0
MALUKU,2019,3072803.0
MALUKU,2020,3315326.0
MALUKU,2021,3409954.0
MALUKU,2022,3586170.0
MALUKU UTARA,2015,2485764.0
MALUKU UTARA,2016,2602096.0
MALUKU UTARA,2017,3025438.0
MALUKU UTARA,2018,3291631.0
MALUKU UTARA,2019,3346256.0
MALUKU UTARA,2020,3539648.0
MALUKU UTARA,2021,3620903.0
MALUKU UTARA,2022,3567892.0
NUSA TENGGARA BARAT,2015,2028755.0
NUSA TENGGARA BARAT,2016,2308554.0
NUSA TENGGARA BARAT,2017,2488017.0
NUSA TENGGARA BARAT,2018,2769910.0
NUSA TENGGARA BARAT,2019,3094995.0
NUSA TENGGARA BARAT,2020,3276942.0
NUSA TENGGARA BARAT,2021,3594128.0
NUSA TENGGARA BARAT,2022,3478939.0
NUSA TENGGARA TIMUR,2015,1856694.0
NUSA TENGGARA TIMUR,2016,2009695.0
NUSA TENGGARA TIMUR,2017,2342228.0
NUSA TENGGARA TIMUR,2018,2407324.0
NUSA TENGGARA TIMUR,2019,2529571.0
NUSA TENGGARA TIMUR,2020,2694412.0
NUSA TENGGARA TIMUR,2021,2804696.0
NUSA TENGGARA TIMUR,2022,2899044.0
PAPUA,2015,2858292.0
PAPUA,2016,3117226.0
PAPUA,2017,3563105.0
PAPUA,2018,3671789.0
PAPUA,2019,3922058.0
PAPUA,2020,4169427.0
PAPUA,2021,4313999.0
PAPUA,2022,4616653.0
PAPUA BARAT,2015,3184634.0
PAPUA BARAT,2016,3138619.0
PAPUA BARAT,2017,3479972.0
PAPUA BARAT,2018,3818730.0
PAPUA BARAT,2019,4170667.0
PAPUA BARAT,2020,4250397.0
PAPUA BARAT,2021,4414048.0
PAPUA BARAT,2022,4404010.0
RIAU,2015,3084703.0
RIAU,2016,3330519.0
RIAU,2017,3425404.0
RIAU,2018,3628467.0
RIAU,2019,3779852.0
RIAU,2020,4122954.0
RIAU,2021,4107792.0
RIAU,2022,4360409.0
SULAWESI BARAT,2015,1937658.0
SULAWESI BARAT,2016,2178146.0
SULAWESI BARAT,2017,2324874.0
SULAWESI BARAT,2018,2628994.0
SULAWESI BARAT,2019,2718698.0
SULAWESI BARAT,2020,2882976.0
SULAWESI BARAT,2021,2859366.0
SULAWESI BARAT,2022,3124417.0
SULAWESI SELATAN,2015,2347416.0
SULAWESI SELATAN,2016,2703761.0
SULAWESI SELATAN,2017,2897523.0
SULAWESI SELATAN,2018,3131484.0
SULAWESI SELATAN,2019,3130148.0
SULAWESI SELATAN,2020,3235940.0
SULAWESI SELATAN,2021,3361358.0
SULAWESI SELATAN,2022,3468230.0
SULAWESI TENGAH,2015,2481830.0
SULAWESI TENGAH,2016,2749044.0
SULAWESI TENGAH,2017,3003694.0
SULAWESI TENGAH,2018,3019098.0
SULAWESI TENGAH,2019,3143113.0
SULAWESI TENGAH,2020,3281159.0
SULAWESI TENGAH,2021,3305349.0
SULAWESI TENGAH,2022,3383777.0
SULAWESI TENGGARA,2015,2158698.0
SULAWESI TENGGARA,2016,2586431.0
SULAWESI TENGGARA,2017,2710036.0
SULAWESI TENGGARA,2018,3017719.0
SULAWESI TENGGARA,2019,3165307.0
SULAWESI TENGGARA,2020,3211820.0
SULAWESI TENGGARA,2021,3349510.0
SULAWESI TENGGARA,2022,3461537.0
SULAWESI UTARA,2015,2487018.0
SULAWESI UTARA,2016,2896482.0
SULAWESI UTARA,2017,3343034.0
SULAWESI UTARA,2018,3482811.0
SULAWESI UTARA,2019,3438306.0
SULAWESI UTARA,2020,3618693.0
SULAWESI UTARA,2021,3610243.0
SULAWESI UTARA,2022,3687158.0
SUMATERA BARAT,2015,2750289.0
SUMATERA BARAT,2016,3019340.0
SUMATERA BARAT,2017,3222959.0
SUMATERA BARAT,2018,3492665.0
SUMATERA BARAT,2019,3518546.0
SUMATERA BARAT,2020,3729773.0
SUMATERA BARAT,2021,3852022.0
SUMATERA BARAT,2022,4035770.0
SUMATERA SELATAN,2015,2284245.0
SUMATERA SELATAN,2016,2625010.0
SUMATERA SELATAN,2017,2878504.0
SUMATERA SELATAN,2018,3006435.0
SUMATERA SELATAN,2019,2951699.0
SUMATERA SELATAN,2020,3147004.0
SUMATERA SELATAN,2021,3363542.0
SUMATERA SELATAN,2022,3530160.0
SUMATERA UTARA,2015,2327365.0
SUMATERA UTARA,2016,2559536.0
SUMATERA UTARA,2017,2724018.0
SUMATERA UTARA,2018,2989537.0
SUMATERA UTARA,2019,3166258.0
SUMATERA UTARA,2020,3342542.0
SUMATERA UTARA,2021,3392998.0
SUMATERA UTARA,2022,3610469.0
