province,year,poverty_line_avg,poverty_line_max
ACEH,2015,799732.0,830738.0
ACEH,2016,842996.7,873458.0
ACEH,2017,898686.7,937883.0
ACEH,2018,948787.7,983090.0
ACEH,2019,996016.7,1019517.0
ACEH,2020,1053006.0,1085136.0
ACEH,2021,1102376.3,1143046.0
ACEH,2022,1205936.3,1252626.0
BALI,2015,648546.0,674553.0
BALI,2016,680685.3,705998.0
BALI,2017,721117.3,741733.0
BALI,2018,767388.7,781555.0
BALI,2019,805760.3,833087.0
BALI,2020,857104.0,894704.0
BALI,2021,900954.3,941511.0
BALI,2022,985393.0,1030392.0
BANTEN,2015,686178.3,710527.0
BANTEN,2016,733580.7,759955.0
BANTEN,2017,782704.0,817745.0
BANTEN,2018,864846.7,917090.0
BANTEN,2019,928523.7,991816.0
BANTEN,2020,1006094.7,1059873.0
BANTEN,2021,1058898.3,1116111.0
BANTEN,2022,1146892.7,1205295.0
BENGKULU,2015,796783.0,823131.0
BENGKULU,2016,859932.3,889007.0
BENGKULU,2017,923296.7,968276.0
BENGKULU,2018,986860.7,1047609.0
BENGKULU,2019,1036261.7,1107291.0
BENGKULU,2020,1074351.3,1150143.0
BENGKULU,2021,1141016.7,1228842.0
BENGKULU,2022,1238797.0,1334059.0
DI YOGYAKARTA,2015,675833.0,707257.0
DI YOGYAKARTA,2016,706029.0,735296.0
DI YOGYAKARTA,2017,756713.3,798939.0
DI YOGYAKARTA,2018,806367.7,858598.0
DI YOGYAKARTA,2019,859475.3,925294.0
DI YOGYAKARTA,2020,903916.7,975634.0
DI YOGYAKARTA,2021,952257.3,1024360.0
DI YOGYAKARTA,2022,1042366.7,1117736.0
DKI JAKARTA,2015,990426.5,990427.0
DKI JAKARTA,2016,1031049.0,1031049.0
DKI JAKARTA,2017,1114792.0,1114793.0
DKI JAKARTA,2018,1200885.5,1200886.0
DKI JAKARTA,2019,1300615.0,1300615.0
DKI JAKARTA,2020,1363739.5,1363740.0
DKI JAKARTA,2021,1412690.0,1412690.0
DKI JAKARTA,2022,1512325.0,1512325.0
GORONTALO,2015,538497.3,539009.0
GORONTALO,2016,570951.3,571464.0
GORONTALO,2017,605089.7,611423.0
GORONTALO,2018,641616.3,645564.0
GORONTALO,2019,686263.3,692074.0
GORONTALO,2020,743832.0,746941.0
GORONTALO,2021,789641.7,791178.0
GORONTALO,2022,846351.7,849930.0
INDONESIA,2015,675139.7,698919.0
INDONESIA,2016,715695.0,736641.0
INDONESIA,2017,760219.7,786616.0
INDONESIA,2018,809778.3,841384.0
INDONESIA,2019,863048.0,900443.0
INDONESIA,2020,910693.3,947299.0
INDONESIA,2021,955310.0,992578.0
INDONESIA,2022,1037412.3,1073843.0
JAMBI,2015,726341.3,829929.0
JAMBI,2016,776870.0,887215.0
JAMBI,2017,811854.0,923051.0
JAMBI,2018,879035.7,980155.0
JAMBI,2019,935390.3,1036297.0
JAMBI,2020,993083.0,1101531.0
JAMBI,2021,1051922.7,1181926.0
JAMBI,2022,1165720.3,1320263.0
JAWA BARAT,2015,625369.0,625784.0
JAWA BARAT,2016,656815.7,657162.0
JAWA BARAT,2017,697969.0,700017.0
JAWA BARAT,2018,737342.0,740940.0
JAWA BARAT,2019,781677.3,791233.0
JAWA BARAT,2020,823901.0,829601.0
JAWA BARAT,2021,862426.0,867474.0
JAWA BARAT,2022,931880.7,933438.0
JAWA TENGAH,2015,607166.3,607174.0
JAWA TENGAH,2016,639947.0,641677.0
JAWA TENGAH,2017,671861.0,674214.0
JAWA TENGAH,2018,708250.7,712766.0
JAWA TENGAH,2019,751204.0,760528.0
JAWA TENGAH,2020,793706.7,806222.0
JAWA TENGAH,2021,832194.7,843924.0
JAWA TENGAH,2022,903437.7,912102.0
JAWA TIMUR,2015,621573.0,623847.0
JAWA TIMUR,2016,650820.7,652625.0
JAWA TIMUR,2017,702225.3,716749.0
JAWA TIMUR,2018,757651.0,784343.0
JAWA TIMUR,2019,800854.0,830301.0
JAWA TIMUR,2020,833235.0,856768.0
JAWA TIMUR,2021,872769.3,901149.0
JAWA TIMUR,2022,947152.7,972786.0
KALIMANTAN BARAT,2015,667399.7,682091.0
KALIMANTAN BARAT,2016,712315.7,719620.0
KALIMANTAN BARAT,2017,774923.3,780775.0
KALIMANTAN BARAT,2018,834623.3,857598.0
KALIMANTAN BARAT,2019,898479.0,933679.0
KALIMANTAN BARAT,2020,954917.0,1004576.0
KALIMANTAN BARAT,2021,998800.7,1053815.0
KALIMANTAN BARAT,2022,1084216.7,1151219.0
KALIMANTAN SELATAN,2015,704377.3,725896.0
KALIMANTAN SELATAN,2016,767878.3,785624.0
KALIMANTAN SELATAN,2017,823373.0,847243.0
KALIMANTAN SELATAN,2018,864064.7,889094.0
KALIMANTAN SELATAN,2019,934592.7,954059.0
KALIMANTAN SELATAN,2020,999839.0,1012600.0
KALIMANTAN SELATAN,2021,1045713.7,1063281.0
KALIMANTAN SELATAN,2022,1133513.3,1148525.0
KALIMANTAN TENGAH,2015,705325.3,735608.0
KALIMANTAN TENGAH,2016,746410.3,779745.0
KALIMANTAN TENGAH,2017,797588.3,832863.0
KALIMANTAN TENGAH,2018,832984.3,867245.0
KALIMANTAN TENGAH,2019,890492.7,914115.0
KALIMANTAN TENGAH,2020,973457.3,991562.0
KALIMANTAN TENGAH,2021,1025148.3,1051878.0
KALIMANTAN TENGAH,2022,1128190.0,1168386.0
KALIMANTAN TIMUR,2015,962655.7,990438.0
KALIMANTAN TIMUR,2016,1032899.0,1054790.0
KALIMANTAN TIMUR,2017,1105953.0,1120681.0
KALIMANTAN TIMUR,2018,1170129.3,1177884.0
